,property.type,property.bedroomCount,property.location.postalCode,extractDate,count_id,sum_value
69,APARTMENT,3.0,1050,2023-12-05 15:55:52.855004,170,156521000.0
70,APARTMENT,3.0,1060,2023-12-05 15:55:52.855004,31,18984000.0
71,APARTMENT,3.0,1070,2023-12-05 15:55:52.855004,89,31160615.0
72,APARTMENT,3.0,1080,2023-12-05 15:55:52.855004,85,27873490.0
73,APARTMENT,3.0,1081,2023-12-05 15:55:52.855004,16,5944000.0
74,APARTMENT,3.0,1082,2023-12-05 15:55:52.855004,29,10209600.0
75,APARTMENT,3.0,1083,2023-12-05 15:55:52.855004,30,10498000.0
76,APARTMENT,3.0,1090,2023-12-05 15:55:52.855004,47,14995520.0
77,APARTMENT,3.0,1120,2023-12-05 15:55:52.855004,11,3540900.0
78,APARTMENT,3.0,1130,2023-12-05 15:55:52.855004,5,1645210.0
79,APARTMENT,3.0,1140,2023-12-05 15:55:52.855004,41,16907945.0
80,APARTMENT,3.0,1150,2023-12-05 15:55:52.855004,53,36882000.0
81,APARTMENT,3.0,1160,2023-12-05 15:55:52.855004,26,17257000.0
82,APARTMENT,3.0,1170,2023-12-05 15:55:52.855004,14,9607000.0
83,APARTMENT,3.0,1180,2023-12-05 15:55:52.855004,213,180972507.0
84,APARTMENT,3.0,1190,2023-12-05 15:55:52.855004,46,20165000.0
85,APARTMENT,3.0,1200,2023-12-05 15:55:52.855004,82,45741800.0
86,APARTMENT,3.0,1210,2023-12-05 15:55:52.855004,3,864000.0
87,APARTMENT,4.0,1000,2023-12-05 15:55:52.855004,31,33770000.0
88,APARTMENT,4.0,1020,2023-12-05 15:55:52.855004,7,2457000.0
89,APARTMENT,4.0,1030,2023-12-05 15:55:52.855004,17,10926000.0
90,APARTMENT,4.0,1040,2023-12-05 15:55:52.855004,5,4215000.0
91,APARTMENT,4.0,1050,2023-12-05 15:55:52.855004,45,60795000.0
92,APARTMENT,4.0,1060,2023-12-05 15:55:52.855004,12,8672000.0
93,APARTMENT,4.0,1070,2023-12-05 15:55:52.855004,9,3959000.0
94,APARTMENT,4.0,1080,2023-12-05 15:55:52.855004,17,6445500.0
95,APARTMENT,4.0,1081,2023-12-05 15:55:52.855004,1,280000.0
96,APARTMENT,4.0,1082,2023-12-05 15:55:52.855004,3,1565000.0
97,APARTMENT,4.0,1083,2023-12-05 15:55:52.855004,4,1488000.0
98,APARTMENT,4.0,1090,2023-12-05 15:55:52.855004,6,2758000.0
99,APARTMENT,4.0,1120,2023-12-05 15:55:52.855004,1,340000.0
100,APARTMENT,4.0,1130,2023-12-05 15:55:52.855004,1,521000.0
101,APARTMENT,4.0,1140,2023-12-05 15:55:52.855004,2,1031000.0
102,APARTMENT,4.0,1150,2023-12-05 15:55:52.855004,11,10650000.0
103,APARTMENT,4.0,1180,2023-12-05 15:55:52.855004,41,40573000.0
104,APARTMENT,4.0,1190,2023-12-05 15:55:52.855004,6,3643000.0
105,APARTMENT,4.0,1200,2023-12-05 15:55:52.855004,14,10264500.0
106,APARTMENT,4.0,1210,2023-12-05 15:55:52.855004,2,380000.0
107,APARTMENT,5.0,1000,2023-12-05 15:55:52.855004,5,7435000.0
108,APARTMENT,5.0,1030,2023-12-05 15:55:52.855004,1,529000.0
109,APARTMENT,5.0,1050,2023-12-05 15:55:52.855004,4,9375000.0
110,APARTMENT,5.0,1060,2023-12-05 15:55:52.855004,2,755000.0
111,APARTMENT,5.0,1070,2023-12-05 15:55:52.855004,2,680000.0
112,APARTMENT,5.0,1080,2023-12-05 15:55:52.855004,1,449000.0
113,APARTMENT,5.0,1081,2023-12-05 15:55:52.855004,1,995000.0
114,APARTMENT,5.0,1082,2023-12-05 15:55:52.855004,3,1975000.0
115,APARTMENT,5.0,1090,2023-12-05 15:55:52.855004,1,309000.0
116,APARTMENT,5.0,1150,2023-12-05 15:55:52.855004,1,695000.0
117,APARTMENT,5.0,1160,2023-12-05 15:55:52.855004,1,525000.0
118,APARTMENT,5.0,1180,2023-12-05 15:55:52.855004,6,11885000.0
119,APARTMENT,5.0,1200,2023-12-05 15:55:52.855004,3,2215000.0
120,APARTMENT,6.0,1030,2023-12-05 15:55:52.855004,5,3230000.0
121,APARTMENT,6.0,1050,2023-12-05 15:55:52.855004,3,3420000.0
122,APARTMENT,6.0,1150,2023-12-05 15:55:52.855004,1,470000.0
123,APARTMENT,6.0,1210,2023-12-05 15:55:52.855004,2,1290000.0
124,APARTMENT,7.0,1050,2023-12-05 15:55:52.855004,2,1755000.0
125,APARTMENT,8.0,1000,2023-12-05 15:55:52.855004,2,1065000.0
126,APARTMENT,9.0,1040,2023-12-05 15:55:52.855004,2,3790000.0
127,APARTMENT,9.0,1070,2023-12-05 15:55:52.855004,1,1750000.0
128,APARTMENT,22.0,1000,2023-12-05 15:55:52.855004,1,4200000.0
129,HOUSE,0.0,1000,2023-12-05 15:55:52.855004,27,61675000.0
130,HOUSE,0.0,1020,2023-12-05 15:55:52.855004,4,2847000.0
131,HOUSE,0.0,1030,2023-12-05 15:55:52.855004,15,11871000.0
132,HOUSE,0.0,1040,2023-12-05 15:55:52.855004,8,11768000.0
133,HOUSE,0.0,1050,2023-12-05 15:55:52.855004,13,25215000.0
134,HOUSE,0.0,1060,2023-12-05 15:55:52.855004,8,7151000.0
135,HOUSE,0.0,1070,2023-12-05 15:55:52.855004,29,23922000.0
136,HOUSE,0.0,1080,2023-12-05 15:55:52.855004,7,9558000.0
137,HOUSE,0.0,1081,2023-12-05 15:55:52.855004,1,950000.0
138,HOUSE,0.0,1082,2023-12-05 15:55:52.855004,5,6054000.0
139,HOUSE,0.0,1090,2023-12-05 15:55:52.855004,4,2414000.0
140,HOUSE,0.0,1140,2023-12-05 15:55:52.855004,2,999000.0
